

target, size, runtime

1000, 1000, 254112
1050, 1050, 33227
1100, 1100, 25676
1150, 1150, 26808
1200, 1200, 52106
1250, 1250, 28696
1300, 1300, 26431
1350, 1350, 13593
1400, 1400, 13593
1450, 1450, 14725
1500, 1500, 15104
1550, 1550, 16614
1600, 1600, 15104
1650, 1650, 15481
1700, 1700, 15858
1750, 1750, 18879
1800, 1800, 17369
1850, 1850, 16614
1900, 1900, 18880
1950, 1950, 19634
2000, 2000, 17369
2050, 2050, 18879
2100, 2100, 18124
2150, 2150, 19256
2200, 2200, 17746
2250, 2250, 20012
2300, 2300, 19256
2350, 2350, 19257
2400, 2400, 20766
2450, 2450, 19257
2500, 2500, 21899
2550, 2550, 21145
2600, 2600, 38514
2650, 2650, 21900
2700, 2700, 38136
2750, 2750, 22655
2800, 2800, 38514
2850, 2850, 37003
2900, 2900, 23032
2950, 2950, 39646
3000, 3000, 23410
3050, 3050, 41534
3100, 3100, 38513
3150, 3150, 25298
3200, 3200, 43044
3250, 3250, 26430
3300, 3300, 41911
3350, 3350, 26430
3400, 3400, 44555
3450, 3450, 42667
3500, 3500, 33605
3550, 3550, 40401
3600, 3600, 27941
3650, 3650, 55126
3700, 3700, 46065
3750, 3750, 30207
3800, 3800, 54749
3850, 3850, 29451
3900, 3900, 46820
3950, 3950, 40779
4000, 4000, 31339
4050, 4050, 46820
4100, 4100, 30207
4150, 4150, 47953
4200, 4200, 33228
4250, 4250, 46442
4300, 4300, 48708
4350, 4350, 32849
4400, 4400, 48708
4450, 4450, 34360
4500, 4500, 56637
4550, 4550, 47953
4600, 4600, 35115
4650, 4650, 56638
4700, 4700, 35492
4750, 4750, 58148
4800, 4800, 42289
4850, 4850, 53994
4900, 4900, 51728
4950, 4950, 37003
5000, 5000, 52861
5050, 5050, 37381
5100, 5100, 53617
5150, 5150, 48708
5200, 5200, 38135
5250, 5250, 55882
5300, 5300, 70230
5350, 5350, 58525
5400, 5400, 53239
5450, 5450, 40024
5500, 5500, 60035
5550, 5550, 41534
5600, 5600, 57015
5650, 5650, 38891
5700, 5700, 62679
5750, 5750, 54749
5800, 5800, 52106
5850, 5850, 58147
5900, 5900, 43800
5950, 5950, 60791
6000, 6000, 60413
6050, 6050, 42289
6100, 6100, 62678
6150, 6150, 43800
6200, 6200, 61923
6250, 6250, 45310
6300, 6300, 60413
6350, 6350, 63057
6400, 6400, 46064
6450, 6450, 62679
6500, 6500, 47575
6550, 6550, 63056
6600, 6600, 60413
6650, 6650, 47953
6700, 6700, 62678
6750, 6750, 52107
6800, 6800, 60413
6850, 6850, 2018551
6900, 6900, 1032308
6950, 6950, 364367
7000, 7000, 892603
7050, 7050, 285830
7100, 7100, 294891
7150, 7150, 260908
7200, 7200, 250336
7250, 7250, 302443
7300, 7300, 249959
7350, 7350, 288850
7400, 7400, 326231
7450, 7450, 257888
7500, 7500, 305842
7550, 7550, 306218
7600, 7600, 279788
7650, 7650, 269971
7700, 7700, 356814
7750, 7750, 270726
7800, 7800, 287340
7850, 7850, 295646
7900, 7900, 326231
7950, 7950, 348508
