target, time, size
,,
183505,1000,1000
37003,1000,1000
22278,1000,1000
25298,1000,1000
30207,1000,1000
35871,1000,1000
22655,1000,1000
21522,1000,1000
20767,1000,1000
20767,1000,1000
24920,1050,1000
4908,1050,1000
7929,1050,1000
6419,1050,1000
6419,1050,1000
7174,1050,1000
6419,1050,1000
6796,1050,1000
6797,1050,1000
6419,1050,1000
12460,1100,1000
5286,1100,1000
4531,1100,1000
4531,1100,1000
4531,1100,1000
4531,1100,1000
4153,1100,1000
4531,1100,1000
4531,1100,1000
4530,1100,1000
12837,1150,1000
6419,1150,1000
5287,1150,1000
4909,1150,1000
4909,1150,1000
4909,1150,1000
4908,1150,1000
4909,1150,1000
4909,1150,1000
4909,1150,1000
13592,1200,1000
6419,1200,1000
5286,1200,1000
5286,1200,1000
5286,1200,1000
5286,1200,1000
5286,1200,1000
4909,1200,1000
4908,1200,1000
4908,1200,1000
12460,1250,1000
5286,1250,1000
4909,1250,1000
10572,1250,1000
5286,1250,1000
4909,1250,1000
4909,1250,1000
5286,1250,1000
4908,1250,1000
5286,1250,1000
12838,1300,1000
6042,1300,1000
9817,1300,1000
7552,1300,1000
7552,1300,1000
7552,1300,1000
35493,1300,1000
12838,1300,1000
5663,1300,1000
7551,1300,1000
14725,1350,1000
6419,1350,1000
5286,1350,1000
5286,1350,1000
5663,1350,1000
5286,1350,1000
5664,1350,1000
5664,1350,1000
6041,1350,1000
5663,1350,1000
12838,1400,1000
6419,1400,1000
5664,1400,1000
5664,1400,1000
5664,1400,1000
6042,1400,1000
6042,1400,1000
5664,1400,1000
6042,1400,1000
5664,1400,1000
14348,1450,1000
7174,1450,1000
6042,1450,1000
5664,1450,1000
7929,1450,1000
5664,1450,1000
6042,1450,1000
6042,1450,1000
5664,1450,1000
5664,1450,1000
13215,1500,1000
6796,1500,1000
6041,1500,1000
6042,1500,1000
6041,1500,1000
6042,1500,1000
6041,1500,1000
6042,1500,1000
6419,1500,1000
6041,1500,1000
15103,1550,1000
6797,1550,1000
7929,1550,1000
10572,1550,1000
6419,1550,1000
6042,1550,1000
6041,1550,1000
7175,1550,1000
6042,1550,1000
6042,1550,1000
14348,1600,1000
7552,1600,1000
6419,1600,1000
6419,1600,1000
6419,1600,1000
6419,1600,1000
6796,1600,1000
6796,1600,1000
6797,1600,1000
6419,1600,1000
15858,1650,1000
7930,1650,1000
6796,1650,1000
6419,1650,1000
6418,1650,1000
6419,1650,1000
6419,1650,1000
6419,1650,1000
6419,1650,1000
6419,1650,1000
15481,1700,1000
7551,1700,1000
6796,1700,1000
6797,1700,1000
6419,1700,1000
7174,1700,1000
6796,1700,1000
6797,1700,1000
6419,1700,1000
6418,1700,1000
15858,1750,1000
8685,1750,1000
7174,1750,1000
10572,1750,1000
10195,1750,1000
6797,1750,1000
9062,1750,1000
6796,1750,1000
7174,1750,1000
9817,1750,1000
16991,1800,1000
7929,1800,1000
7552,1800,1000
6796,1800,1000
6796,1800,1000
7174,1800,1000
7174,1800,1000
7174,1800,1000
6797,1800,1000
6797,1800,1000
16614,1850,1000
7929,1850,1000
7552,1850,1000
7174,1850,1000
7175,1850,1000
7552,1850,1000
7551,1850,1000
7174,1850,1000
7174,1850,1000
7174,1850,1000
17746,1900,1000
1673820,1900,1000
8307,1900,1000
14726,1900,1000
9439,1900,1000
7552,1900,1000
7551,1900,1000
7929,1900,1000
7551,1900,1000
7551,1900,1000
16614,1950,1000
8685,1950,1000
7551,1950,1000
8307,1950,1000
7552,1950,1000
7929,1950,1000
7552,1950,1000
7552,1950,1000
7552,1950,1000
7552,1950,1000
15858,2000,1000
9440,2000,1000
7929,2000,1000
7930,2000,1000
7929,2000,1000
7929,2000,1000
7930,2000,1000
7929,2000,1000
7929,2000,1000
7929,2000,1000
17746,2050,1000
9439,2050,1000
7929,2050,1000
7929,2050,1000
7929,2050,1000
7929,2050,1000
7929,2050,1000
7929,2050,1000
7930,2050,1000
7929,2050,1000
19257,2100,1000
13970,2100,1000
8307,2100,1000
7929,2100,1000
8685,2100,1000
8307,2100,1000
7929,2100,1000
7929,2100,1000
7929,2100,1000
8307,2100,1000
19256,2150,1000
10195,2150,1000
9062,2150,1000
8306,2150,1000
8684,2150,1000
8306,2150,1000
8684,2150,1000
8685,2150,1000
8307,2150,1000
8307,2150,1000
23410,2200,1000
9817,2200,1000
9062,2200,1000
8685,2200,1000
8685,2200,1000
12838,2200,1000
11705,2200,1000
12460,2200,1000
10950,2200,1000
9439,2200,1000
19257,2250,1000
12082,2250,1000
12460,2250,1000
9818,2250,1000
9817,2250,1000
9062,2250,1000
9062,2250,1000
8684,2250,1000
9062,2250,1000
9062,2250,1000
20767,2300,1000
11327,2300,1000
9062,2300,1000
9062,2300,1000
9062,2300,1000
9062,2300,1000
9062,2300,1000
9062,2300,1000
